Title	Authors
SkelSplat: Robust Multi-view 3D Human Pose Estimation with Differentiable Gaussian Rendering	Laura Bragagnolo , Leonardo Barcellona , Stefano Ghidoni
Learning spatio-temporal feature representations for video-based gaze estimation	Alexandre Personnic , Mihai Bace
VLMs Guided Interpretable Decision Making in Autonomous Driving	Xin Hu , TAOTAO JING , Renran Tian , Zhengming Ding
Enhancing Monocular 3D Hand Reconstruction with Learned Texture Priors	Giorgos Karvounas , Nikolaos Kyriazis , Iason Oikonomidis , Georgios Pavlakos , Antonis Argyros
Systematic Analysis of the Unintentional CSAM-Generation-Potential of Text-to-Image Models	Nicolas Göller , Martin Steinebach
Enhanced Back-Projection of Vision Features for 3D Symmetry Detection	Isaac Aguirre , Ivan Sipiran
Descrip3D: Enhancing Large Language Model-based 3D Scene Understanding with Object-Level Text Descriptions	Jintang Xue , Ganning Zhao , Jie-En Yao , Hong-En Chen , Yue Hu , Meida Chen , Suya You , Chung Chieh Kuo
MARS: a Multimodal Alignment and Ranking System for Few-Shot Segmentation	Nico Catalano , Stefano Samele , Paolo Pertino , Matteo Matteucci
Occlusion Boundary and Depth: Mutual Enhancement via Multi-Task Learning	Lintao XU , Yinghao WANG , Chaohui Wang
MoRe: Monocular Geometry Refinement via Graph Optimization for Cross-View Consistency	Dongki Jung , Jaehoon Choi , Yonghan Lee , Sungmin Eum , Heesung Kwon , Dinesh Manocha
Vision-informed Semantic Text Alignment for Open-set Recognition in Remote Sensing	Siddhant Gole , Akash Pal , Ankit Jha , Subhasis Chaudhuri , Biplab Banerjee
GrounDiff: Diffusion-Based Ground Surface Generation from Digital Surface Models	Oussema Dhaouadi , Johannes Meier , Jacques Kaiser , Daniel Cremers
